Designator,Mid X,Mid Y,Rotation,Layer
C1,34.837496,-51.925,0.0,bottom
C2,35.65,-57.375,0.0,bottom
C3,50.45,-66.3,270.0,bottom
C4,55.175,-52.5,270.0,bottom
C5,48.7,-42.875,90.0,bottom
CX1,63.45,-54.2,180.0,bottom
CX2,63.45,-56.9,180.0,bottom
D1,70.575,-31.4025,90.0,bottom
D10,220.518756,-31.425,90.0,bottom
D11,239.568756,-31.425,90.0,bottom
D12,258.625,-31.425,90.0,bottom
D13,277.675,-31.425,90.0,bottom
D14,36.187496,-37.4,90.0,bottom
D15,68.118756,-48.725,90.0,bottom
D16,87.168756,-50.475,90.0,bottom
D17,106.218756,-50.475,90.0,bottom
D18,125.268756,-50.475,90.0,bottom
D19,144.318756,-50.475,90.0,bottom
D2,68.113756,-31.425,90.0,bottom
D20,163.368756,-50.475,90.0,bottom
D21,182.418756,-50.475,90.0,bottom
D22,201.468756,-50.475,90.0,bottom
D23,220.518756,-50.475,90.0,bottom
D24,239.568756,-50.475,90.0,bottom
D25,258.625,-50.475,90.0,bottom
D26,277.675,-50.475,90.0,bottom
D27,39.543748,-69.55,90.0,bottom
D28,68.118756,-69.55,90.0,bottom
D29,87.168756,-69.55,90.0,bottom
D3,87.168756,-31.425,90.0,bottom
D30,106.218756,-69.55,90.0,bottom
D31,125.268756,-69.55,90.0,bottom
D32,144.318756,-69.55,90.0,bottom
D33,163.368756,-69.55,90.0,bottom
D34,182.418756,-69.55,90.0,bottom
D35,201.468756,-69.55,90.0,bottom
D36,220.518756,-69.55,90.0,bottom
D37,239.568756,-69.55,90.0,bottom
D38,258.618756,-69.55,90.0,bottom
D39,277.7,-69.55,90.0,bottom
D4,106.218756,-31.425,90.0,bottom
D40,39.662496,-86.55,90.0,bottom
D41,68.118756,-88.55,90.0,bottom
D42,87.168756,-88.55,90.0,bottom
D43,106.218756,-88.55,90.0,bottom
D44,125.268756,-88.55,90.0,bottom
D45,144.318756,-88.55,90.0,bottom
D46,163.368756,-88.55,90.0,bottom
D47,182.418756,-88.55,90.0,bottom
D48,201.468756,-88.55,90.0,bottom
D49,220.518756,-88.55,90.0,bottom
D5,125.268756,-31.425,90.0,bottom
D50,239.568756,-88.55,90.0,bottom
D51,258.625,-88.55,90.0,bottom
D52,277.668748,-88.55,90.0,bottom
D6,144.318756,-31.425,90.0,bottom
D7,163.368756,-31.425,90.0,bottom
D8,182.418756,-31.425,90.0,bottom
D9,201.468756,-31.425,90.0,bottom
J2,48.9,-29.45,0.0,bottom
J3,75.175,-35.675,270.0,bottom
J5,25.55878,-93.575,270.0,bottom
MX1,32.146902,-29.76565,0.0,bottom
MX10,213.122054,-29.76565,0.0,bottom
MX11,232.17207,-29.76565,0.0,bottom
MX12,251.222086,-29.76565,0.0,bottom
MX13,270.272102,-29.76565,0.0,bottom
MX14,32.146902,-48.815666,0.0,bottom
MX15,60.721926,-48.815666,0.0,bottom
MX16,79.771942,-48.815666,0.0,bottom
MX17,98.821958,-48.815666,0.0,bottom
MX18,117.871974,-48.815666,0.0,bottom
MX19,136.92199,-48.815666,0.0,bottom
MX2,60.721926,-29.76565,0.0,bottom
MX20,155.972006,-48.815666,0.0,bottom
MX21,175.022022,-48.815666,0.0,bottom
MX22,194.072038,-48.815666,0.0,bottom
MX23,213.122054,-48.815666,0.0,bottom
MX24,232.17207,-48.815666,0.0,bottom
MX25,251.222086,-48.815666,0.0,bottom
MX26,270.272102,-48.815666,0.0,bottom
MX27,32.146902,-67.865682,0.0,bottom
MX28,60.721926,-67.865682,0.0,bottom
MX29,79.771942,-67.865682,0.0,bottom
MX3,79.771942,-29.76565,0.0,bottom
MX30,98.821958,-67.865682,0.0,bottom
MX31,117.871974,-67.865682,0.0,bottom
MX32,136.92199,-67.865682,0.0,bottom
MX33,155.972006,-67.865682,0.0,bottom
MX34,175.022022,-67.865682,0.0,bottom
MX35,194.072038,-67.865682,0.0,bottom
MX36,213.122054,-67.865682,0.0,bottom
MX37,232.17207,-67.865682,0.0,bottom
MX38,251.222086,-67.865682,0.0,bottom
MX39,270.272102,-67.865682,0.0,bottom
MX4,98.821958,-29.76565,0.0,bottom
MX40,32.146902,-86.915698,0.0,bottom
MX41,60.721926,-86.915698,0.0,bottom
MX42,79.771942,-86.915698,0.0,bottom
MX43,98.821958,-86.915698,0.0,bottom
MX44,117.871974,-86.915698,0.0,bottom
MX45,136.92199,-86.915698,0.0,bottom
MX46,155.972006,-86.915698,0.0,bottom
MX47,175.022022,-86.915698,0.0,bottom
MX48,194.072038,-86.915698,0.0,bottom
MX49,213.122054,-86.915698,0.0,bottom
MX5,117.871974,-29.76565,0.0,bottom
MX50,232.17207,-86.915698,0.0,bottom
MX51,251.222086,-86.915698,0.0,bottom
MX52,270.272102,-86.915698,0.0,bottom
MX6,136.92199,-29.76565,0.0,bottom
MX7,155.972006,-29.76565,0.0,bottom
MX8,175.022022,-29.76565,0.0,bottom
MX9,194.072038,-29.76565,0.0,bottom
R1,35.65,-59.575,180.0,bottom
R2,43.775,-42.875,90.0,bottom
R3,46.075,-42.875,270.0,bottom
RSW1,33.737496,-34.75,270.0,bottom
SW1,28.012496,-37.675,0.0,bottom
U1,46.6,-55.75,270.0,bottom
Y1,59.05,-55.575,270.0,bottom
